Asset Class,Ticker,LS Weight,Eq Weight,RP Weight
Commodity,CL1 Comdty,-0.05,0.08333333333333333,0.013775454735586947
Commodity,NG1 Comdty,0.05,0.08333333333333333,0.008265635194505091
Commodity,C 1 Comdty,-0.1,0.08333333333333333,0.025775518752134737
Equity,ES1 Index,0.05,0.08333333333333333,0.020655043149112668
Equity,CF1 Index,-0.2,0.08333333333333333,0.025955689684247205
Equity,XU1 Index,0.1,0.08333333333333333,0.025436754339915376
Fixed Income,TY1 Comdty,0.9,0.08333333333333333,0.0809168145993406
Fixed Income,RX1 Comdty,-0.9,0.08333333333333333,0.07976015606708735
Fixed Income,XM1 Comdty,0.8,0.08333333333333333,0.5462980381857578
FX,CADUSD Curncy,0.1,0.08333333333333333,0.07978750915195613
FX,EURUSD Curncy,0.15,0.08333333333333333,0.05097168051918486
FX,JPYUSD Curncy,0.1,0.08333333333333333,0.04240170562117115
